New outlets created:
Row 1: URN=DCP/25/LO/002324, Name=ALL FOR GOD, Region=LO/OGUN
Row 353: URN=DCP/25/LO/002839, Name=ANUOLUWA KINTAN ENTERPRISE, Region=LO
Row 354: URN=DCP/25/LO/002840, Name=OJELAJE CEMENT STORE, Region=LO
Row 355: URN=DCP/25/LO/002841, Name=GALAXY VENTURES, Region=LO
Row 356: URN=DCP/25/LO/002842, Name=ALADE CEMENT STORE, Region=LO
Row 357: URN=DCP/25/LO/002527, Name=ROTKEM CEMENT SORE, Region=LO
Row 358: URN=DCP/19/LO/000468, Name=Oladipupo Cement Store, Region=LO
Row 359: URN=DCP/19/LO/000470, Name=YUSFAITH CEMENT STORE  2, Region=LO
Row 360: URN=DCP/19/LO/000471, Name=YUSFAITH CEMENT STORE  1, Region=LO
Row 361: URN=DCP/19/LO/009137, Name=oba&co Cement store, Region=LO
Row 362: URN=DCP/25/LO/002406, Name=Ismail Abiola Cement, Region=LO
Row 363: URN=DCP/25/LO/002407, Name=ogunseye Taiwo cement Store, Region=LO
Row 364: URN=DCP/25/LO/005472, Name=KADIJAT Cement Store, Region=LO
Row 365: URN=DCP/25/LO/002731, Name=Abilum Bright, Region=LO
Row 366: URN=DCP/25/Lo/002732, Name=oladepo Cement store, Region=LO
Row 367: URN=DCP/25/LO/002733, Name=Nathaniel Venture, Region=LO
Row 368: URN=DCP/25/LO/002734, Name=Temitope Cement Store, Region=LO
Row 369: URN=DCP/25/LO/002738, Name=Thoaj Enterprise, Region=LO
Row 370: URN=DCP/25/LO/002823, Name=Oladele Cement Store, Region=LO
Row 371: URN=DCP/25/LO/002323, Name=Arowowlo Block Industry, Region=LO
Row 372: URN=DCP/25/Lo/006046, Name=sadoski Cement Store, Region=LO
Row 373: URN=DCP/25/Lo/006107, Name=Titilayo Cement Store, Region=LO
Row 374: URN=DCP/25/LO/006128, Name=Bamidele Enterprise, Region=LO
Row 375: URN=DCP/23/Lo/000436, Name=Okoya Cement, Region=LO
Row 376: URN=DCP/23/Lo/000792, Name=oloko Cement store, Region=LO
Row 377: URN=Dcp/23/Lo/00848, Name=olaniyan Cement Store, Region=LO
Row 378: URN=DCP/19/LO/000472, Name=SHOPLAT CEMENT STORE, Region=LO
Row 379: URN=DCP/19/LO/000474, Name=Alahja Modinat Cement Store, Region=LO
Row 380: URN=DCP/19/LO/000473, Name=D&D Cement Store, Region=LO
Row 381: URN=DCP/19/LO/000475, Name=MR BAMGBOPA, Region=LO
Row 382: URN=DCP/19/LO/000488, Name=MR T. OLUSODEINDE, Region=LO
Row 383: URN=DCP/25/LO/002528, Name=Bidex Cement Store, Region=LO
Row 384: URN=DCO/25/LO/002529, Name=GOD MERCY CEMENT STORE, Region=LO
Row 385: URN=DCP/25/Lo/002530, Name=IRENITEMI BLOCK INDUSTRY, Region=LO
Row 386: URN=DCP/25/LO/003744, Name=AKINDELE Cement Store, Region=LO
Row 387: URN=DCP/19/LO/000484, Name=AFEBIOYE DAVID, Region=LO
Row 388: URN=DCP/24/LO/000496, Name=OYE BLOCK INDUSTRY, Region=LO
Row 389: URN=DCP/25/LO/005458, Name=P OLAWALE INVESTMENT COMPANY NIG LIMITED, Region=LO
Row 390: URN=DCP/24/LO/000495, Name=OGA ADUBI BLOCK INDUSTRY, Region=LO
Row 391: URN=DCP/24/LO/000498, Name=BUKOLAS, Region=LO
Row 392: URN=DCP/24/LO/000499, Name=LBBC, Region=LO
Row 393: URN=DCP/25/LO/005391, Name=AQUCAS, Region=LO
Row 394: URN=DCP/25/LO/002556, Name=GRACIOUS HEART, Region=LO
Row 396: URN=DCP/25/LO/002563, Name=ALUBARIKA, Region=LO
Row 397: URN=DCP/25/LO/002725, Name=AMIN GLOBAL VENTURES, Region=LO
Row 398: URN=DCP/25/LO/002476, Name=OLOLAD GLOBALLINK NIGERIA LIMITED, Region=LO
Row 399: URN=DCP/25/LO/002566, Name=REGENT DIAMOND VENTURES, Region=LO
Row 400: URN=DCP/24/LO/000500, Name=PAULIOUS, Region=LO
Row 401: URN=DCP/24/LO/000494, Name=MAKU STAR, Region=LO
Row 403: URN=DCP/25/LO/005498, Name=IMOLE CITY BLOCK INDUSTRY, Region=LO
Row 404: URN=DCP/25/LO/002526, Name=T&T GENERAL SERVICE, Region=LO
Row 406: URN=DCP/24/LO/000770, Name=ALL PRAISE GLOBAL ENTERPRISES, Region=LO
Row 407: URN=DCP/25/LO/002828, Name=MASCROM BLOCK INDUSTRY, Region=LO
Row 408: URN=DCP/25/LO/002827, Name=NOBEL HMA AND MORE VENTURES, Region=LO
Row 413: URN=DCP/24/LO/000507, Name=BLESSED PRINCE WILL, Region=LO
Row 414: URN=DCP/24/LO/000506, Name=KOLA AND SON, Region=LO
Row 415: URN=DCP/24/LO/000501, Name=YAHAYA CEMENT, Region=LO
Row 416: URN=DCP/24/LO/000497, Name=AL-RAHMON VENTURES, Region=LO
Row 417: URN=DCP/24/LO/002059, Name=MOWODANI CEMENT, Region=LO
Row 418: URN=DCP/24/LO/001384, Name=M.S BUILDING MATERIALS, Region=LO
Row 419: URN=DCP/24/LO/001381, Name=TOBEST CEMENT, Region=LO
Row 420: URN=DCP/19/LO/002768, Name=FM CEMENT, Region=LO
Row 421: URN=DCP/24/LO/001329, Name=MAMA TEE CEMENT, Region=LO
Row 422: URN=DCP/19/LO/002776, Name=MAMA TWINS CEMENT, Region=LO
Row 423: URN=DCP/24/LO/001376, Name=OPEYEMI ALWAYS CEMENT, Region=LO
Row 425: URN=DCP/24/LO/001378, Name=NINALOWO CEMENT, Region=LO
Row 426: URN=DCP/19/LO/002837, Name=SAKA KAOLA, Region=LO
Row 427: URN=DCP/24/LO/001370, Name=SUNNYLOLA CEMENT, Region=LO
Row 428: URN=DCP/19/LO/002797, Name=DOUBLE M CEMENT, Region=LO
Row 429: URN=DCP/24/LO/001365, Name=UP JESUS CEMENT, Region=LO
Row 430: URN=DCP/24/LO/001366, Name=SULAIMON CEMENT, Region=LO
Row 431: URN=DCP/24/LO/001367, Name=YIYO EKUN, Region=LO
Row 432: URN=DCP/24/LO/001359, Name=ILERI ASE CEMENT, Region=LO
Row 433: URN=DCP/24/LO/001360, Name=L&K CEMENT, Region=LO
Row 434: URN=DCP/24/LO/001362, Name=AY P&P GLOBAL VENTURES, Region=LO
Row 436: URN=DCP/19/LO/002838, Name=AKINS CEMENT, Region=LO
Row 437: URN=DCP/19/LO/010054, Name=JAYBEE 28 CEMENT, Region=LO
Row 438: URN=DCP/24/LO/001324, Name=LAMIDI CEMENT, Region=LO
Row 439: URN=DCP/24/LO/001326, Name=EL MUKAIL CEMENT, Region=LO
Row 441: URN=DCP/19/LO/002766, Name=MICROTAW CEMENT, Region=LO
Row 442: URN=DCP/24/LO/001331, Name=GREATEST GOD SQUARE CEMENT, Region=LO
Row 443: URN=DCP/19/LO/002773, Name=LONG LIFE CEMENT, Region=LO
Row 444: URN=DCP/19/LO/002778, Name=ALHAJA RAJI CEMENT, Region=LO
Row 445: URN=DCP/19/LO/010081, Name=ALADEWURA CEMENT BLOCK INDUSTRY, Region=LO
Row 446: URN=DCP/19/LO/002810, Name=KEENY KAY VENTURES, Region=LO
Row 447: URN=DCP/19/LO/002848, Name=ALADEWURA CEMENT STORE, Region=LO
Row 448: URN=DCP/24/LO/001334, Name=BUSHIRAT BUILDING AFFAIRS VENTURE, Region=LO
Row 449: URN=DCP/25/LO/002560, Name=CHUKUDI CEMENT, Region=LO
Row 450: URN=DCP/25/LO/002559, Name=MUMMY VICTOR, Region=LO
Row 451: URN=DCP/25/LO/002558, Name=ISLEAD NIG LIMITED, Region=LO
Row 452: URN=DCP/19/LO/002793, Name=RHEMA CEMENT, Region=LO
Row 453: URN=DCP/24/LO/001336, Name=BISFEM CEMENT, Region=LO
Row 454: URN=DCP/19/LO/010146, Name=COURAGE AND GRACE, Region=LO
Row 455: URN=DCP/24/LO/001340, Name=DOYIN CEMENT, Region=LO
Row 456: URN=DCP/24/LO/001341, Name=GUESSI BLOCK INDUSTRY, Region=LO
Row 458: URN=DCP/24/LO/001351, Name=ADKAF CEMENT, Region=LO
Row 459: URN=DCP/24/LO/001352, Name=ADAGUNJA CEMENT, Region=LO
Row 463: URN=DCP/19/LO/002827, Name=DAOLEZ BLOCK INDUCTRY, Region=LO
Row 464: URN=DCP/19/LO/002831, Name=HIS GRACE, Region=LO
Row 466: URN=DCP/25/LO/002829, Name=KEHINDE AKANKE, Region=LO
Row 467: URN=DCP/19/LO/002819, Name=ALUBARIKA CEMENT STORE, Region=LO
Row 468: URN=DCP/19/LO/002820, Name=ISAIHA ROKAB CEMENT STORE, Region=LO
Row 469: URN=DCP/19/LO/002841, Name=RHEMA CEMENT DEPOT, Region=LO
Row 471: URN=DCP/24/LO/001325, Name=SUCCESS GALORE VENTURES, Region=LO
Row 472: URN=DCP/19/LO/011877, Name=JIMOH CEMENT, Region=LO
Row 473: URN=DCP/24/LO/001375, Name=SHOLA CEMENT, Region=LO
Row 475: URN=DCP/19/LO/002798, Name=OWO OMO CEMENT VENTURE, Region=LO
Row 476: URN=DCP/25/LO/006047, Name=OLAMILEKAN CEMENT, Region=LO
Row 477: URN=DCP/25/LO/006048, Name=INCREDIBLE HUMAN BUSINESS VENTURES, Region=LO
Row 478: URN=DCP/25/LO/006079, Name=A&G ENTERPRISES, Region=LO
Row 479: URN=DCP/25/LO/006109, Name=AR-RAHMAN, Region=LO
Row 480: URN=DCP/25/LO/006126, Name=UP JESUS, Region=LO
Row 481: URN=DCP/23/LO/000904, Name=Ay enterprises, Region=LO
Row 482: URN=DCP/19/LO/002833, Name=IGBALAYE BLOCK INDUSTRY, Region=LO
Row 484: URN=DCP/25/LO/002576, Name=DR NICE OKE OWO VENTURES, Region=LO
Row 485: URN=DCP/25/LO/002557, Name=OLADUJOYE BUILDING MATERIALS, Region=LO
Row 486: URN=DCP/19/LO/002755, Name=DEEEN CEMENT, Region=LO
Row 487: URN=DCP/25/LO/002721, Name=OLAJESUMI GLOBAL ENTERPRISES, Region=LO
Row 488: URN=DCP/25/LO/002722, Name=HAY WHY ENTERPRISES, Region=LO
Row 490: URN=DCP/24/LO/001346, Name=SAHOLOG, Region=LO
Row 491: URN=DCP/24/LO/000502, Name=AL-BABKAH VENTURES LTD, Region=LO
Row 492: URN=DCP/24/LO/000503, Name=SULIAMON CEMENT, Region=LO
Row 581: URN=DCP/19/LO/009151, Name=AKANKE SUPER STORE, Region=LO
Row 582: URN=DCP/19/LO/009152, Name=POSU GOLDEN APPLE, Region=LO
Row 583: URN=DCP/19/LO/009153, Name=MUSEDIK OGUNREMI CEMENT, Region=LO
Row 584: URN=DCP/19/LO/009154, Name=B/S CEMENT, Region=LO
Row 585: URN=DCP/19/LO/009155, Name=WANIK ENTERPRISES, Region=LO
Row 587: URN=DCP/19/LO/009157, Name=FINNING NIG LIMITED, Region=LO
Row 588: URN=DCP/19/LO/009158, Name=MRS BAKARE, Region=LO
Row 589: URN=DCP/19/LO/009164, Name=Mr Idowu cement store, Region=LO
Row 590: URN=DCP/19/LO/009160, Name=AKINTOYE CEMENT, Region=LO
Row 591: URN=DCP/19/LO/000081, Name=mummy tee cement  store, Region=LO
Row 592: URN=DCP/19/LO/000112, Name=LuKaz block industry, Region=LO
Row 593: URN=DCP/19/LO/000113, Name=kasamadupe block industry, Region=LO
Row 594: URN=DCP/19/LO/000116, Name=musedik block industry, Region=LO
Row 595: URN=DCP/19/LO/000118, Name=Bakare cement store, Region=LO
Row 596: URN=DCP/19/LO/000119, Name=ENDURANCE BLOCK, Region=LO
Row 597: URN=DCP/19/LO/009165, Name=OGO-OLUWA CEMENT, Region=LO
Row 598: URN=DCP/19/LO/000120, Name=Convenant cement store, Region=LO
Row 599: URN=DCP/19/LO/000121, Name=Convenant BLOCK INDUSTRY, Region=LO
Row 600: URN=DCP/24/LO/000257, Name=olasunkanmi global venture, Region=LO
Row 602: URN=DCP/24/LO/000535, Name=ADESHYNA GLOBAL INVESTMENT, Region=LO
Row 603: URN=DCP/24/LO/000154, Name=S LACATERA WORLD, Region=LO
Row 604: URN=DCP/25/LO/002541, Name=YUSLAD CEMENT STORE, Region=LO
Row 605: URN=DCP/24/LO/000211, Name=KIKELOMO CEMENT STORE, Region=LO
Row 606: URN=DCP/24/LO/001065, Name=MERIT THRIVING VENTURE, Region=LO
Row 607: URN=DCP/19/LO/009167, Name=Royal Gate commercial marketting Ind, Region=LO
Row 608: URN=DCP/19/LO/009168, Name=FADLAD VENTURE, Region=LO
Row 609: URN=DCP/19/LO/009169, Name=Alubarika cement store, Region=LO
Row 610: URN=DCP/19/LO/009170, Name=Owoiya cement, Region=LO
Row 611: URN=DCP/19/LO/009171, Name=Ogo-Oluwa cement 2, Region=LO
Row 612: URN=DCP/19/LO/000089, Name=Walter cement, Region=LO
Row 613: URN=DCP/19/LO/000131, Name=Morikas cement, Region=LO
Row 614: URN=DCP/19/LO/000091, Name=Kashamadupe cement, Region=LO
Row 615: URN=DCP/19/LO/009186, Name=B&S cement store, Region=LO
Row 616: URN=DCP/19/LO/000093, Name=Kazarb heritage, Region=LO
Row 617: URN=DCP/19/LO/000094, Name=Walter cement 2, Region=LO
Row 618: URN=DCP/19/LO/000095, Name=Kola Alogi cement, Region=LO
Row 619: URN=DCP/19/LO/000122, Name=Lucky base store, Region=LO
Row 620: URN=DCP/19/LO/000123, Name=Luklat cement store, Region=LO
Row 621: URN=DCP/19/LO/000126, Name=Ogo-Oluwa cement 1, Region=LO
Row 622: URN=DCP/19/LO/000127, Name=Gods Hand ventures, Region=LO
Row 623: URN=DCP/24/LO/001064, Name=BUHPMENT CEMENT STORE, Region=LO
Row 624: URN=DCP/19/LO/000098, Name=Rhythem osa enterprises, Region=LO
Row 625: URN=DCP/19/LO/000099, Name=Posu Golden apple cement, Region=LO
Row 626: URN=DCP/24/LO/001063, Name=Alhaji Show cement, Region=LO
Row 628: URN=DCP/19/LO/000102, Name=Victory cement, Region=LO
Row 630: URN=DCP/19/LO/009189, Name=Moboluwaduro Cement Store, Region=LO
Row 631: URN=DCP/19/LO/000105, Name=Frisware Integrated services, Region=LO
Row 632: URN=DCP/19/LO/011687, Name=Alhaji show 2 cement store, Region=LO
Row 634: URN=DCP/19/LO/000108, Name=Kazeem JOLAOSO, Region=LO
Row 637: URN=DCP/19/LO/000498, Name=Mummy Nifemi ventures, Region=LO
Row 640: URN=DCP/25/LO/002533, Name=omo Iran ologo, Region=LO
Row 641: URN=DCP/25/LO/002536, Name=Majub cement, Region=LO
Row 642: URN=DCP/19/LO/000083, Name=mummy nifemi 2 cement store, Region=LO
Row 643: URN=DCP/19/LO/001062, Name=TIYIN CEMENT STORE, Region=LO
Row 644: URN=DCP/19/LO/009208, Name=MR OMOLABI SAMUEL, Region=LO
Row 645: URN=DCP/19/LO/011688, Name=ojasope cement store, Region=LO
Row 646: URN=DCP/19/LO/000519, Name=ogooluwani block industry, Region=LO
Row 647: URN=DCP/19/LO/011839, Name=Abesfad nig ltd 2, Region=LO
Row 649: URN=DCP/25/LO/002537, Name=sunshine block industry, Region=LO
Row 650: URN=DCP/25/LO/002538, Name=Babadarijiwo cement, Region=LO
Row 651: URN=DCP/19/LO/000079, Name=M.F AND SON CEMENT STORE, Region=LO
Row 652: URN=DCP/19/LO/000542, Name=Jomfik Nig Ltd, Region=LO
Row 653: URN=DCP/19/LO/000124, Name=Victory of God cement, Region=LO
Row 654: URN=DCP/19/LO/00136, Name=Omooba zion block Industry, Region=LO
Row 655: URN=DCP/19/LO/000111, Name=Mrs Adegbenro, Region=LO
Row 656: URN=DCP/24/LO/001061, Name=AWODELE VENTURES, Region=LO
Row 657: URN=DCP/24/LO/001060, Name=MAKE HOME CREATIONS, Region=LO
Row 663: URN=DCP/19/LO/000129, Name=Oke cement, Region=LO
Row 665: URN=DCP/19/LO/000132, Name=Kola Alogi cement 2, Region=LO
Row 666: URN=DCP/19/LO/000133, Name=Wabillahi block, Region=LO
Row 667: URN=DCP/19/LO/000135, Name=walter cement, Region=LO
Row 668: URN=DCP/25/LO/002539, Name=DANDEBBY cement Store, Region=LO
Row 669: URN=DCP/19/LO/000137, Name=Kashamadupe block industry, Region=LO
Row 670: URN=DCP/19/LO/000134, Name=fadlad block industry, Region=LO
Row 671: URN=DCP/25/LO/002540, Name=Noslat ventures, Region=LO
Row 672: URN=DCP/24/LO/001059, Name=DEVINE CONSCIENCE BLOCK INDUSTRY, Region=LO
Row 673: URN=DCP/25/LO/003719, Name=OLAOFE CEMENT STORE, Region=LO
Row 674: URN=DCP/25/LO/002875, Name=JESUPEMI NIG ENTERPRISES, Region=LO
Row 675: URN=DCP/23/LO/000359, Name=B&S VENTURE, Region=LO
Row 676: URN=DCP/24/LO/002218, Name=Iyanuoluwa venture, Region=LO
Row 677: URN=DCP/19/LO/009163, Name=Jokotewa venture, Region=LO
Row 678: URN=DCP/24/LO/009204, Name=GLORIOUS CALVARY VENTURE, Region=LO
Row 679: URN=DCP/24/LO/009209, Name=Awuru enterprises, Region=LO
Row 680: URN=DCP/24/LO/009216, Name=Eyiowuewi cement store, Region=LO
Row 681: URN=DCP/19/LO/009639, Name=KOLLYGAB ENTERPRISES, Region=LO
Row 682: URN=DCP/19/LO/009640, Name=ADEFAITH CEMENT STORE 1, Region=LO
Row 683: URN=DCP/19/LO/009641, Name=IBRO CEMENT STORE 1, Region=LO
Row 684: URN=DCP/19/LO/009643, Name=ADEFAITH CEMENT STORE 2, Region=LO
Row 685: URN=DCP/19/LO/009644, Name=OLUWANISHOLA CEMENT, Region=LO
Row 686: URN=DCP/19/LO/009645, Name=AYALU IRE CEMENT STORE, Region=LO
Row 687: URN=DCP/19/LO/009650, Name=D KING SOLO AMJ., Region=LO
Row 688: URN=DCP/19/LO/009652, Name=S O LOGISTICS VENTURES, Region=LO
Row 689: URN=DCP/19/LO/009653, Name=BEN CEMENT, Region=LO
Row 690: URN=DCP/19/LO/009654, Name=SHEIKH- LOVER BLOCKS INDUSTRY, Region=LO
Row 691: URN=DCP/19/LO/009656, Name=MATO OLALOWO CEMENT, Region=LO
Row 692: URN=DCP/19/LO/009657, Name=IBRO CEMENT STORE 2, Region=LO
Row 693: URN=DCP/19/LO/009658, Name=AMOS ENTERPRISE, Region=LO
Row 694: URN=DCP/19/LO/009664, Name=ASIKOLAYE PLANK AND CEMENT STORE, Region=LO
Row 695: URN=DCP/19/LO/009665, Name=OLUWANBEPELUMI CEMENT, Region=LO
Row 696: URN=DCP/19/LO/009666, Name=OBANIJESU BUILDING MATERIALS 1, Region=LO
Row 697: URN=DCP/19/LO/009670, Name=SAMLAQ CEMENT, Region=LO
Row 698: URN=DCP/19/LO/009671, Name=OMOTOSHO CEMENT, Region=LO
Row 699: URN=DCP/19/LO/009673, Name=TUNRADE GLOBAL RESOURCES, Region=LO
Row 701: URN=DCP/24/LO/001309, Name=SUNDAY CEMENT, Region=LO
Row 702: URN=DCP/19/LO/009674, Name=OMO OLA VENTURES, Region=LO
Row 703: URN=DCP/19/LO/009661, Name=GREAT GRACIOUS CEMENT, Region=LO
Row 704: URN=DCP/24/LO/001308, Name=OBANIJESU BUILDING MATERIALS 2, Region=LO
Row 706: URN=DCP/19/LO/009765, Name=ADEFAT CEMENT, Region=LO
Row 708: URN=DCP/25/LO/005392, Name=AJEGUNLE STORES(CEMENT AND BUILDING MATERIALS), Region=LO
Row 709: URN=DCP/25/LO/005497, Name=JATTU STORE GLOBAL VENTURES, Region=LO
Row 710: URN=DCP/25/LO/005709, Name=FAUGIKE ENTERPRISE, Region=LO
Row 711: URN=DCP/25/LO/005776, Name=DOLLY P. CEMENT, Region=LO
Row 712: URN=DCP/19/LO/009719, Name=TOP SPEED BUILDING MATERIALS, Region=LO
Row 713: URN=DCP/19/LO/009741, Name=TOP SPEED BUILDING MATERIALS 2, Region=LO
Row 714: URN=DCP/19/LO/009734, Name=JATTU CEMENT, Region=LO
Row 715: URN=DCP/19/LO/009675, Name=ADEX CEMENT, Region=LO
Row 716: URN=DCP/19/LO/009676, Name=AL-BARIKA BLOCKS AND CEMENT, Region=LO
Row 717: URN=DCP/19/LO/009677, Name=AFRICAN COMMUNICATION CEMENT, Region=LO
Row 718: URN=DCP/19/LO/009678, Name=AYINUOLA GLOBAL VENTURES, Region=LO
Row 719: URN=DCP/19/LO/009679, Name=MAMA BUSAYO CEMENT STORE, Region=LO
Row 720: URN=DCP/19/LO/009683, Name=ALFA WALIU IKOYE, Region=LO
Row 721: URN=DCP/19/LO/009685, Name=MAS LORD BLESSING VENTURES, Region=LO
Row 722: URN=DCP/19/LO/009686, Name=OBASA CEMENT, Region=LO
Row 723: URN=DCP/19/LO/009687, Name=TAO BLOCKS INDUSTRY, Region=LO
Row 724: URN=DCP/19/LO/009688, Name=OMOGACO LAD, Region=LO
Row 725: URN=DCP/19/LO/009689, Name=ALAANU VIBRATED INDUSTRY, Region=LO
Row 726: URN=DCP/19/LO/009690, Name=OLOBA VENTURES, Region=LO
Row 727: URN=DCP/19/LO/009691, Name=TOYIN CEMENT, Region=LO
Row 728: URN=DCP/19/LO/009703, Name=BLESSED CEMENT STORE, Region=LO
Row 729: URN=DCP/19/LO/009695, Name=ISIAKA CEMENT, Region=LO
Row 730: URN=DCP/19/LO/009700, Name=KAREEM CEMENT, Region=LO
Row 731: URN=DCP/24/LO/000155, Name=OLUWASEUN CEMENT STORE, Region=LO
Row 733: URN=DCP/24/LO/001310, Name=OMIC VENTURES, Region=LO
Row 734: URN=DCP/19/LO/009704, Name=FELICITY INTERNATIONAL 1, Region=LO
Row 735: URN=DCP/19/LO/009705, Name=OLORI OLAKUNLE CEMENT STORE, Region=LO
Row 736: URN=DCP/19/LO/009706, Name=ALL-SALAM VENTURES, Region=LO
Row 737: URN=DCP/19/LO/009707, Name=JATTU CEMENT AND  BUILDING MATERIALS, Region=LO
Row 738: URN=DCP/19/LO/009708, Name=TOVISAM VENTURES, Region=LO
Row 739: URN=DCP/19/LO/009709, Name=ALAANU BLOCKS INDUSTRY, Region=LO
Row 740: URN=DCP/19/LO/009710, Name=ALUBARIKA CEMENT, Region=LO
Row 741: URN=DCP/19/LO/009711, Name=FELICITY INTERNATIONAL 2, Region=LO
Row 742: URN=DCP/19/LO/009712, Name=ALABANK BLOCKS INDUSTRY, Region=LO
Row 743: URN=DCP/19/LO/009713, Name=YABKAZ VENTURES LTD, Region=LO
Row 745: URN=DCP/19/LO/009715, Name=LUKJAD ENTERPRISES, Region=LO
Row 746: URN=DCP/19/LO/009716, Name=CHANNEL CIRO NIGERIA ENTEPRISES, Region=LO
Row 747: URN=DCP/19/LO/009717, Name=D KING SOLO AMJ NIG. LTD 1, Region=LO
Row 748: URN=DCP/19/LO/009718, Name=D KING SOLO AMJ NIG. LTD 2, Region=LO
Row 750: URN=DCP/19/LO/009720, Name=SHOLAGAF MULTI VENTURES 1, Region=LO
Row 751: URN=DCP/19/LO/009721, Name=SHOLAGAF MULTI VENTURES 2, Region=LO
Row 752: URN=DCP/19/LO/009723, Name=ORE OFE OLORUN INT. SYNERGY, Region=LO
Row 753: URN=DCP/19/LO/009726, Name=TOVISAM VENTURES 2, Region=LO
Row 754: URN=DCP/24/LO/001311, Name=OMO MUMMY CEMENT, Region=LO
Row 755: URN=DCP/19/LO/009729, Name=OLAJUWON CEMENT, Region=LO
Row 756: URN=DCP/19/LO/009732, Name=EDDY CHEMICAL ENTERPRISE, Region=LO
Row 757: URN=DCP/19/LO/009733, Name=IYA ABUBAKAR CEMENT, Region=LO
Row 758: URN=DCP/19/LO/009742, Name=ORE OFE VENTURES, Region=LO
Row 759: URN=DCP/19/LO/009745, Name=ORELASAN ENTERPRISES, Region=LO
Row 760: URN=DCP/19/LO/009747, Name=OLAOGUN CEMENT STORE 1, Region=LO
Row 761: URN=DCP/19/LO/009748, Name=BABAMETA CEMENT STORE, Region=LO
Row 762: URN=DCP/19/LO/009750, Name=IGBALANI ENIKANOLAIYE, Region=LO
Row 763: URN=DCP/19/LO/009751, Name=ADEOSUN CEMENT, Region=LO
Row 764: URN=DCP/19/LO/009752, Name=TIMI VENTURES, Region=LO
Row 765: URN=DCP/19/LO/009753, Name=ANJORIN BLOCKS INDUSTRY, Region=LO
Row 766: URN=DCP/19/LO/009754, Name=OLADUNNI CEMENT STORE, Region=LO
Row 767: URN=DCP/19/LO/009755, Name=ELIZABETH CEMENT, Region=LO
Row 768: URN=DCP/19/LO/009756, Name=BEMIBAWA CEMENT AND BLOCKS INDUSTRY, Region=LO
Row 769: URN=DCP/19/LO/009757, Name=AKBAT BLOCKS AND CONSTRUCTION INDUSTRY, Region=LO
Row 770: URN=DCP/19/LO/009758, Name=ADUKE CEMENT, Region=LO
Row 771: URN=DCP/24/LO/001312, Name=AL QUWIYU ENTERPRISE, Region=LO
Row 772: URN=DCP/24/LO/001313, Name=IKE ANOBI CEMENT AND BUILDING MATERIALS, Region=LO
Row 773: URN=DCP/24/LO/001314, Name=P. OLAWALE INVESTMENT, Region=LO
Row 775: URN=DCP/24/LO/001316, Name=SUNNYHAM'S ENTERPRISE, Region=LO
Row 777: URN=DCP/19/LO/009759, Name=IRETOMI CEMENT, Region=LO
Row 778: URN=DCP/25/LO/002477, Name=JOMATEC BLOCKS INDUSTRY, Region=LO
Row 785: URN=DCP/19/LO/009772, Name=UNITY BLOCK INDUSTRY, Region=LO
Row 786: URN=DCP/19/LO/009774, Name=ADEBAYO CEMENT, Region=LO
Row 787: URN=DCP/19/LO/009775, Name=GOD'S TIME BLOCKS INDUSTRY, Region=LO
Row 788: URN=DCP/19/LO/009776, Name=OMOKASH VENTURES, Region=LO
Row 789: URN=DCP/19/LO/009777, Name=AKOGUN CEMENT AND BLOCKS INDUSTRY, Region=LO
Row 790: URN=DCP/19/LO/009779, Name=OGBAOLUWA CEMENT, Region=LO
Row 792: URN=DCP/19/LO/009781, Name=LEMBOYE CEMENT, Region=LO
Row 793: URN=DCP/24/LO/001318, Name=HEMJEEY INTEGRATED NIG.LTD, Region=LO
Row 794: URN=DCP/24/LO/001319, Name=OGUNKOYA CEMENT, Region=LO
Row 795: URN=DCP/25/LO/002320, Name=OLUWAYINKA BLOCKS INDUSTRY, Region=LO
Row 796: URN=DCP/25/LO/002723, Name=Moses Cement, Region=LO
Row 797: URN=DCP/25/LO/002832, Name=Setonji Cement, Region=LO
Row 798: URN=DCP/25/LO/002833, Name=Abel Cement, Region=LO
Row 799: URN=DCP/25/LO/002836, Name=Oluwasegun Cement, Region=LO
Row 800: URN=DCP/19/LO/009778, Name=Odejayi Cement, Region=LO
Row 801: URN=DCP/19/LO/009655, Name=HON. ADEWALE CEMENT, Region=LO
Row 802: URN=DCP/19/LO/009668, Name=ORE OFE INDUSTRIAL ENTERPRISE, Region=LO
Row 803: URN=DCP/19/LO/009672, Name=ALASCO BLOCKS INDUSTRY, Region=LO
Row 807: URN=DCP/19/LO/000001, Name=MRS IBUKUNOLUWA O, Region=LO
Row 808: URN=DCP/19/LO/000002, Name=MRS PATIENR YUSUF, Region=LO
Row 809: URN=DCP/19/LO/000003, Name=MR  ASEYORI, Region=LO
Row 810: URN=DCP/19/LO/000005, Name=MR OLALEKAN SHOGBADE, Region=LO
Row 811: URN=DCP/19/LO/000006, Name=MR  LAMBO, Region=LO
Row 812: URN=DCP/19/LO/000009, Name=ALAJA COLE MORA'S, Region=LO
Row 814: URN=DCP/19/LO/000011, Name=MR YANIWURA, Region=LO
Row 815: URN=DCP/19/LO/000012, Name=MR NASIRU ABIODUN, Region=LO
Row 816: URN=DCP/19/LO/000043, Name=MRS IYANUOLUWA, Region=LO
Row 817: URN=DCP/25/LO/004535, Name=MRS ANUOLUWA, Region=LO
Row 818: URN=DCP/25/LO/004536, Name=MRS OLOYEDE, Region=LO
